,ID,Name,Location,Join Date,Reports To,Highest Qualification,Major,University,All Qualifications,Courses Taught,Major Teaching Field,Relevant Experience,Criteria
177,LT9001194,Harold J H Patteson,Belfast,11-Feb-07,Rob Jenkins,Ph.D,Business Administration,Swiss Management Center,"Ph.D (Business Administration), Diploma (Islamic Banking), Bachelor (Arts), Master of Business Administrator (Business Administration), Mast of Applied Finance (Finance)",US4283 - Islamic Finance and Banking US4223 - Retail Finance and Banking SS2103 - Personal Finance US4263 - Corp Finance and Banking,"Finance , Marketing and General Business",6 years of Industry Experience and 19 Years of Teaching,Industry and Teaching experience
178,LT9000895,Gary Arthur Hughes,Belfast,09-Aug-96,Rob Jenkins,Master of Management,Management,Birth Institute of Tech & Sc.,"Master of Business Administrator (Management), Master of Management (Management), Certificate (Economics)",US4183 - Corporate Finance US4153 - Financial Accounting In US4113 - Financial Accounting I US3203 - Start Gt Bus Simulation,Management,4 year professional experience +21 years Teaching,Industry and Teaching experience
180,LT9000176,Sarah Davies,Glasgow,20-Jan-90,Sean Woods,Master of Business Administrator,Finance,University of Leicester,"Master of Business Administrator (Finance), Bachelor of Business Admin. (Business Administration), Certificate (CET), Diploma (English)",US4143 - IRS US4173 - Managerial Accounting In US4153 - Financial Accounting In US4113 - Financial Accounting I US4133 - Managerial Accounting I,"Accounting, Finance and General Business","32 years teaching experience, 2 years professional experience CET",Industry and Teaching experience
181,LT9304980,Ryan Chow,Glasgow,01-Oct-14,Sean Woods,Master of Business Administrator,Executive BA,MIT University,"Post Graduate Diploma (Human Resource Management), Bachelor (Information Systems Management), Master of Business Administrator (Executive BA), Graduate Certificate (Tertiary Teaching and Learning)",US3406 - Work Related Learning US1403 - Business Ethics and Corporate US1203 - Software Apps for Business US4353 - Int Human Resource Management,General Business,"10 years experience in Business  and  In, 11 years teaching experience",Industry and Teaching experience
182,LT9305874,Aldo Schram  ,Glasgow,18-Jan-15,Sean Woods,Master of Management,International Business,Massey University,"Certificate of Completion (Television Production), Certificate (Adult Education), PD in Business Administration (Management), Bachelor (Comm. Gt and Journalism Studies), Master of Management (International Business)",US2403 - Innovation and Entrepreneurship US3406 - Work Related Learning US4373 - Strategic RM,General Business,8 years teaching experience 14 years industry experience,Industry and Teaching experience
183,LT9002050,Rina Borda  ,Glasgow,17-Aug-00,Sean Woods,Master of Education,Education,The University of Adelaide,"Master of Education (Education), Diploma (Education)",SD1253 - Arabic Retail Environment US2913 - Sustaining Cultural Identity,General Business,"20 Years Teaching Experience. CD Certified Professional Trainer (CPP) - CC Foundations. Leadership and Training Certified Trainer - Phi Theta Kappa International Honor Society - USA. Vocational and Educational Training (ET) Assessment Module, Certificate In Workplace Training - Australia. Khalifa Fund Entrepreneurs Trainer, Khalifa Fund - AE.",Industry and Teaching experience
184,LT9138114,Dena Odle  ,Leeds,25-Jan-09,Sean Woods,Ph.D,E-Commerce,Northcentral University,"Master of Business Administrator (Business Administration), Ph.D (E-Commerce), Bachelor of Science (Animal Science), Post Graduate Certificate (Educating/Teaching Adult), Master of Arts (Media Communications), Master of Arts (International Relation), Master of Arts (International Business)",US4163 - Taxation US4353 - Int Human Resource Management US2103 - Operations Management US3203 - Start Gt Bus Simulation,"General Business, International Business, E-Business","13 years professional prior work experience V and COO St Charles drilling, 12 years teaching experience, GCE-TL, CAS Com, CAS Bus, Wharton GF, CD and I (Groundwater Industry), Delta Mu Delta Publishing Excellence Award",Industry and Teaching experience
185,LT9251178,Johnie Purtell  ,Leeds,26-Aug-12,Sean Woods,Master of Business Administrator,Business Administration,Roosevelt University,Master of Business Administrator (Business Administration),US3406 - Work Related Learning SS2103 - Personal Finance US4323 - Career Development Planning,General Business,"Cirt In - Australia, PxandC License",Industry and Teaching experience
186,LT9135225,Wai Siemens  ,Leeds,16-Sep-08,Sean Woods,Master of Business Administrator,Management,Mill University,"Bachelor of Arts (Psychology), Master of Business Administrator (Management)",US2203 - Business Stats for Managers US4213 - Financial Quantitative Methods US4513 - Start Decisions with Gt Sc US4653 - International Marketing,General Business,"11 years teaching experience, 7 years professional management experience",Industry and Teaching experience
187,LT9160480,Bernadine Carvalho  ,Leeds,09-Jan-10,Sean Woods,Master of Commerce,Business Marketing,University of Mumbai (Bombay),"Master of Commerce (Business Marketing), Bachelor (Commerce)",SD1233 - Ethics in a Retail Environment SD1223 - Marketing Principles US1303 - Marketing US4813 - Supply Chain Concept/Practices US4643 - Cross Cultural Management,General Business,"Approximate 14 Yes Industrial Experience including positions held at management level. More than 15.5 Years Teaching Experience. Internal verified for HD TEC excel Up. Descriptor and outcomes based learning practitioner from 2001 to 2009. Program manager for HD TEC Syllabus from 2006 to 2009. Program developer, module writer, leader and tender writer. Program manager, coordinator and certified developer for the Retailing program Bahrain. 2006 in association with FI International Australia.",Industry and Teaching experience
188,LT9017832,Ebonie Moak  ,Leeds,01-Sep-14,Sean Woods,Bachelor of Applied Science,Business Adm (Hum Resources),Kings College London,"Bachelor of Applied Science (Business Adm (Hum Resources)), Higher Diploma (Business Management)",SD2213 - Retail Customer Service,He and Entrepreneurship,3 years Student Services Administration,Industry and Teaching experience
189,LT9017549,Owen Dauber  ,Leeds,19-Feb-12,Sean Woods,Bachelor of Applied Science,Information Management,Kings College London,"Bachelor of Applied Science (Information Management), Higher Diploma (Info. Admin. Concentration)",US1003 - Management and Leadership,General Business,2Year in National Bank of Fujairah and 4 years in Student and Academic Services Department,Industry and Teaching experience
190,LT9017546,Myrtis Cerniglia  ,Leeds,01-Sep-14,Sean Woods,Bachelor of Applied Science,Information Management,Kings College London,"Bachelor of Applied Science (Information Management), Higher Diploma (Info. Admin. Concentration)",SD2023 - Software Applications In,Human Resource Management,1 and 1 and 2 Years in Industrial Experience,Industry and Teaching experience
191,200008197,Katelyn Hylton  ,Leeds,29-Apr-07,Sean Woods,Master of Science,Organizational Excellence,Loughborough University,"Higher Diploma (Information Administration), Master of Science (Organizational Excellence), Bachelor of Applied Science (Information Management)",US3003 - Managing People andOrganisations SD2013 - Introduction to Human Resource,Managing People and Organizations,"8 year experience in Student and Academic Services, CET",Industry and Teaching experience
192,LT9134987,Malia Cromley  ,Leeds,03-Sep-08,Sean Woods,Master of Business Administrator,General Management,Manuel L.Queen University,"Bachelor of Business Admin. (Marketing), Master of Business Administrator (General Management)",SD2213 - Retail Customer Service US1003 - Management and Leadership SS2103 - Personal Finance ND1022 - Intro to Community Service US1303 - Marketing,General Business,"13 Years Teaching Experience, Certificate in Teaching Profession, Mini CET",Industry and Teaching experience
193,LT9051665,Drucilla Moos  ,Leeds,16-Nov-14,Sean Woods,Bachelor (Applied Science) in Business administration( Human Resources ),nan,Stanford University,"Bachelor (Applied Science), Higher Diploma (Applied Science)",nan,General Business,2 years as recruitment officer in Al Share Hospital. 2 years in Fujairah General Directorate in the Department of strategic planning and personal development.,Industry and Teaching experience
194,LT9022443,Deane Bagnell  ,Leeds,27-Aug-05,Sean Woods,Master of Science,Strategic Business and In,University of Portsmouth,"Master of Science (Strategic Business and In), Bachelor of Science (Economics)",US3103 - Internet Bus Globalization SD2222 - Retailing Project I,"General Business, Business Ethics, He","10 years of industry experience and 4 Years Teaching Experience, CET,",Industry and Teaching experience
195,LT9134029,Roosevelt Ngo  ,Leeds,10-Aug-08,Sean Woods,Master of Science,Engineering,Technical University Denmark,"Bachelor of Science (Mechanical Engineering), Master of Science (Engineering)",US2003 - Business and Commercial Law US4313 - Emil Relations AE Labour Law SD1243 - Retail Operations US4663 - International Trade,General Business,"7 years Teaching Experience, 14 years of professional management experience, Harvard Certificate in Teaching for Understanding",Industry and Teaching experience
196,LT9160552,Beatriz Zehr  ,Leeds,10-Jan-10,Sean Woods,Master of Business Administrator,Business Administration,University of Phoenix,"Bachelor of Business Admin. (Finance), Master of Business Administrator (Business Administration)",US4183 - Corporate Finance US2303 - Financial Management US3406 - Work Related Learning US1503 - Accounting for Managers,General Business,"11 Years Teaching Experience, 10 Years of professional and management experience. Instructional Skills Workshop Certificate, 2010",Industry and Teaching experience
197,LT9017604,Glynis Haigh  ,Leeds,04-Sep-11,Sean Woods,Bachelor of Applied Science,Information Management,Kings College London,"Higher Diploma (Information Administration), Bachelor of Applied Science (Information Management)",nan,General Business,5 years experience in administration,Industry and Teaching experience
198,LT9159154,Joetta Tamayo  ,Leeds,21-Aug-11,Sean Woods,Master of Business Administrator,Management Information System,Arab Academy for Sci & Tech,"Master of Business Administrator (Management Information System), Cirt in CET (CET), Bachelor of Business Admin. (Management Information System)",US3913 - Emotional Intelligence for Bus US3406 - Work Related Learning SD2033 - Basic Accounting,General Business,"17 Years of Teaching Experience, 9 years of Management and Business experience in He and In training and Project Management for Executives and Academic professionals.",Industry and Teaching experience
199,LT9307792,Rheba Kyker  ,Leeds,22-Feb-15,Sean Woods,Master of Philosophy,Management,Cambridge University,"MA Psychology (Psychology), Master of Philosophy (Management), Master of Arts (), Bachelor (Management Science), Masters (Management Science)",US3003 - Managing People andOrganisations US4936 - Integrative Industry Project US2903 - Logistics and Supply Chain Mount,nan,nan,Industry and Teaching experience
202,LT9307227,Libbie Thronson  ,Bolton,29-Jan-15,Ian Westwood,Master of Philosophy,Commerce,University of Marks,"Master of Philosophy (Commerce), Masters (Finance)",US4183 - Corporate Finance US2303 - Financial Management US3903 - Contemporary Business US3406 - Work Related Learning US4133 - Managerial Accounting I,Accounting and Finance and Business Administration,18 years of higher education teaching experience and 3 years of industrial experience,Industry and Teaching experience
203,LT9160581,Brett Bischof  ,Bolton,09-Jan-10,Ian Westwood,International Business &Market,International Marketing,The University of Strathclyde,"Bachelor of Accounting (Economics), International Business andMarket (International Marketing), Master of Business Administrator (Business Administration)",US2203 - Business Stats for Managers US3003 - Managing People andOrganisations US2903 - Logistics and Supply Chain Mount,nan,nan,Industry and Teaching experience
204,LT9300548,Kristopher Raco  ,Bolton,17-Aug-14,Ian Westwood,Master of Business,Business,The University of Newcastle,"Bachelor (Education), Master of Business (Business)",US2403 - Innovation and Entrepreneurship US3406 - Work Related Learning US2003 - Business and Commercial Law US1203 - Software Apps for Business US2103 - Operations Management US2903 - Logistics and Supply Chain Mount,Transport and Logistics  and  Business Administration  and Management and Software Applications and General Business,10 Years Transport and Logistics Industry Experience 20 Years Teaching Experience,Industry and Teaching experience
205,LT9098607,Maricela Burkart  ,Bolton,29-Aug-07,Ian Westwood,Master of Business Administrator,Business Administration,NelsonMandela Metropolitan Und,Master of Business Administrator (Business Administration),US4956 - Integrative Industry Project US3406 - Work Related Learning US4513 - Start Decisions with Gt Sc US3203 - Start Gt Bus Simulation,He and General Business,"16 years of higher education Teaching Experience, 1 year of Industry experience , 4 years of High school teaching; Lead Auditor in (ISO and EC20000-1:2011-In Service Management; ISO and EC27001:2005-Information Security Management; ISO22301:2012-Business Continuity Management; ISO9001:2008-Quality Management)",Industry and Teaching experience
206,LT9100760,Tiera Haskin  ,Bolton,08-Feb-08,Ian Westwood,Mast of Applied Finance,Finance,Macquarie University,"Certificate (Management), Mast of Applied Finance (Finance), Master of Business Administrator (Business Administration), Diploma (Management)",US4563 - Strategic Marketing Management US4513 - Start Decisions with Gt Sc US1503 - Accounting for Managers US4543 - Quality Management Tools,nan,nan,Industry and Teaching experience
207,LT9328934,Brittny Kratz  ,Bolton,09-Aug-15,Ian Westwood,Masters,Global Human Resource Mnet,The University of Liverpool,"Masters (Global Human Resource Mnet), Masters (Commerce)",US2403 - Innovation and Entrepreneurship US4533 - Int'l Quality Gt System US1303 - Marketing US2903 - Logistics and Supply Chain Mount,nan,nan,Industry and Teaching experience
208,LT9000683,Brain Sherrill  ,Birmingham,14-Aug-95,Jayne Radford,Master of Science,Educational Leadership,University of Leicester,"Certificate (EFL), Master of Science (Educational Leadership), Certificate (Teaching), Bachelor of Business (Marketing)",US3003 - Managing People andOrganisations US3913 - Emotional Intelligence for Bus,General Business,"20+ years work experience, 5+ years professional work experience",Industry and Teaching experience
211,LT9284583,Kary Florian  ,Oxford,04-May-14,Jayne Radford,Bachelor,Statistics,Kent University,Bachelor (Statistics),Faculty Trainee/BA in Progress,General Business,nan,Trainee
212,LT9126903,Shana Quayle  ,Oxford,06-Apr-14,Jayne Radford,Bachelor of Applied Science,Business Adm (Hum Resources),Harvard University,"Bachelor of Applied Science (Business Adm (Hum Resources)), Higher Diploma (Business Adm (Hum Resources))",Faculty Trainee/BA in Progress,General Business,nan,Trainee
213,LT9307268,Camellia Ovellette  ,Oxford,01-Feb-15,Jayne Radford,Ph.D,Commerce,Oxford University,"Bachelor (Commerce), Post Graduate Diploma (Business), Master of Philosophy (Management), Masters (Management Accounting), Ph.D (Commerce)",US4623 - International Business Finance US2303 - Financial Management US4163 - Taxation US4133 - Managerial Accounting I,Accounting,20+ Industry and 10+ years teaching,Industry and Teaching experience
214,LT9001277,Kimber Upshaw  ,Oxford,16-Aug-09,Jayne Radford,Ph.D,Social Science,Tilburg University,"Ph.D (Social Science), Bachelor of General Studies (General Studies), Master of Arts (Educational Leadership)",US3406 - Work Related Learning US3203 - Start Gt Bus Simulation US4343 - Training and Development,General Business  and  He,15+ years teaching experience; 6 years work experience in He,Industry and Teaching experience
215,LT9211510,Thelma Smock  ,Oxford,05-Feb-13,Jayne Radford,Executive BA,Strategic Management,Higher Colleges of Technology,"Bachelor (Computer and Information Science), Executive BA (Strategic Management)",US3003 - Managing People andOrganisations,General Business  and  Accounting  and  Statistics,1 year work experience,Industry and Teaching experience
216,LT9001641,Brendon Devita  ,Oxford,31-Jan-99,Jayne Radford,Master of Commerce,Marketing,University of New South Wales,"Master of Commerce (Marketing), Diploma (Marketing), Bachelor in Economics (Economics)",US4966 - Integrative Industry Project US1303 - Marketing US2913 - Sustaining Cultural Identity,General Business  and  Marketing,14+ years teaching experience; 8 years work experience product management and marketing,Industry and Teaching experience
217,LT9059323,Awilda Blaise  ,Oxford,01-Apr-07,Jayne Radford,Executive BA,Strategic Management,Harvard University,"Bachelor of Science (Network Engineering), Executive BA (Strategic Management)",US2003 - Business and Commercial Law US1003 - Management and Leadership,General Business,nan,Industry and Teaching experience
218,LT9160531,Tynisha Hamernik  ,Oxford,10-Jan-10,Jayne Radford,Master of Business Administrator,Business Administration,Troy University,"Master of Business Administrator (Business Administration), Bachelor of Business Mount (Business Management)",US1403 - Business Ethics and Corporate SH2143 - Leadership Communication US4643 - Cross Cultural Management,General Business  and  Management,"5+ years teaching, 20+ years work experience in sales",Industry and Teaching experience
219,LT9304442,Heriberto Milholland  ,Oxford,21-Sep-14,Jayne Radford,Ph.D,Marketing,University of Alberta,"Bachelor (Political Science), Masters (Gt and Public Administration), Ph.D (Marketing)",US3103 - Internet Bus Globalization US1103 - Economics for Managers US1303 - Marketing,General Business and Management-Marketing,"10+ Years Teaching experience, 25+ years Business and Marketing Management, Professional Certified Trainer",Industry and Teaching experience
220,LT9304975,Luise Hagwood  ,Oxford,13-Oct-14,Jayne Radford,Ph.D,Business Administration,Batangas State University,"Master of Business Administrator (Business Management), Ph.D (Business Administration), Bachelor of Science (Business Management), Bachelor of Arts (Political Science)",US4683 - Middle East Debt. and Logistics US4563 - Strategic Marketing Management US1003 - Management and Leadership US1303 - Marketing,Management,"10+ Years Teaching, 8 Years industry experience (Banking)",Industry and Teaching experience
221,LT9127072,Deandra Evensen  ,Oxford,06-Apr-14,Jayne Radford,Bachelor of Applied Science,Business Adm (Hum Resources),Harvard University,"Bachelor of Applied Science (Business Adm (Hum Resources)), Higher Diploma (Business Adm (Hum Resources))",Graduate Trainee/BA in Progress,General Business,nan,Industry and Teaching experience
222,LT9061279,Leopoldo Helsel  ,Oxford,07-Jan-07,Jayne Radford,Executive BA,Strategic Management,Harvard University,"Executive BA (Strategic Management), Bachelor of Science (Information Systems)",US2403 - Innovation and Entrepreneurship US1303 - Marketing,General Business,started teaching in Sept 2013; work experience in In support services for 3+ years,Industry and Teaching experience
223,LT9062712,Jerome Lansing  ,Oxford,28-Mar-07,Jayne Radford,Master of Business Administrator,Business Administration,York University,"Bachelor of Education (Eng. Lang. and Lit. Geography), Bachelor of Arts (English), Master of Business Administrator (Business Administration)",US4533 - Int'l Quality Gt System US4673 - International Law US1503 - Accounting for Managers,General Business,9+ years teaching experience; 5+ years work experience in real estate and business development,Industry and Teaching experience
224,LT9301293,Venita Defelice  ,Oxford,17-Aug-14,Jayne Radford,Master of Business Administrator,Innovative Management,Coventry University,"Bachelor (Commerce), Cirt. in Mgm Accounting (Accounting and Finance), Master of Business Administrator (Innovative Management), Certificate (Computer Programming)",US2203 - Business Stats for Managers US4183 - Corporate Finance US4113 - Financial Accounting I,Accounting and Finance and Management,"8 Years teaching, 6 years industry (Finance) Professional Certificate in Business Accounting",Industry and Teaching experience
231,LT9001206,Twanda Chumbley  ,Southampton,09-Aug-97,Ian Westwood,Master of Business Administrator,Business Administration,The Waikato University,"Master of Business Administrator (Business Administration), Master of Science (Social Studies), Bachelor of Management Studies (Accounting)",US3103 - Internet Bus Globalization US3903 - Contemporary Business US3406 - Work Related Learning US4113 - Financial Accounting I US4123 - Auditing US4163 - Taxation US1503 - Accounting for Managers,Accounting and General Business,20 years government and industry experience in New Zealand and Australia.Member of the Institute of Chartered Accountants in New Zealand. 23 Years experience teaching at tertiary level.,Industry and Teaching experience
232,LT9305072,Klaus Pontius  ,Southampton,19-Oct-14,Ian Westwood,Master of Business Administrator,Business Administration,Open University,"Bachelor (Geology), Master of Business Administrator (Business Administration), Masters (Geology)",US4583 - ISO Standards and Excellence US4553 - Strategic Supply Chain Manager US4563 - Strategic Marketing Management US3406 - Work Related Learning US4573 - Advanced Strategic Management US1403 - Business Ethics and Corporate US2103 - Operations Management,Of and He and  MT and General Management,10 years of Industry Experience and 14 years of Teaching Experience. Both at Undergraduate and Postgraduate levels.,Industry and Teaching experience
233,LT9300994,Roselyn Paulos  ,Southampton,17-Aug-14,Ian Westwood,Master of Business Administrator,Business Administration,Armour University,"Master of Business Administrator (Business Administration), Bachelor (Chemical Engineering)",US4956 - Integrative Industry Project US3406 - Work Related Learning US1003 - Management and Leadership US4373 - Strategic RM US2903 - Logistics and Supply Chain Mount,Business Administration and Strategic Management and production operation,8 years industrial experience;5 years in production line; 3 years as branch manager. 7 years higher education teaching experience.,Industry and Teaching experience
234,LT9329697,Celina Huls  ,Leicester,11-Aug-15,Betty Adewuyi,Master of Business Administrator,Business Administration,University of Saskatchewan,"Bachelor (Chemical Engineering), Master of Business Administrator (Business Administration)",US2003 - Business and Commercial Law US1403 - Business Ethics and Corporate,nan,nan,Industry and Teaching experience
235,LT9004790,Eleonora Banas  ,Leicester,06-Feb-04,Betty Adewuyi,Master of Business Administrator,E-Commerce,The University of Kent,"Bach of Information Technology (Information Technology), Master of Business Administrator (E-Commerce)",US2203 - Business Stats for Managers US3903 - Contemporary Business US4513 - Start Decisions with Gt Sc,Management,More than 5 years work experience,Industry and Teaching experience
236,LT9301247,Luetta Rittenhouse  ,Leicester,17-Aug-14,Betty Adewuyi,Ph.D,Management,Banasthali Vidyapith,"Bachelor of Arts (English Literature), Ph.D (Management), Master of Arts (Public Administration), Master of Business Administrator (Human Resource Management)",US3003 - Managing People andOrganisations US1003 - Management and Leadership SD2013 - Introduction to Human Resource US4373 - Strategic RM,He and Management,More than 5 years work experience,Industry and Teaching experience
237,LT9309282,Yanira Kreger  ,Leicester,01-Apr-15,Betty Adewuyi,Master of Commerce,Advanced Info Systems and Gt,University of New South Wales,"Post Degree Certificate (Teaching and Learning), Master of Commerce (Advanced Info Systems and Gt), Post Graduate Diploma (Marketing), Bachelor (Marketing), Post Degree Certificate (Educational Studies)",US4533 - Int'l Quality Gt System US4543 - Quality Management Tools US1303 - Marketing,nan,nan,Industry and Teaching experience
238,LT9231283,Matt Slovak  ,Leicester,29-Jan-12,Betty Adewuyi,Master of Business Administrator,Human Resource Management,University of Western Sydney,"Certificate (Management Information System), Bachelor in Economics (Economics), Master of Business Administrator (Human Resource Management), Post Graduate Certificate (Project Management), Post Degree Certificate (Training and He Management)",US4553 - Strategic Supply Chain Manager US2903 - Logistics and Supply Chain Mount US2103 - Operations Management,"Projects Management, Logistics and Supply Chain Management",Project Management Institute: Certified Practitioner with Prince 2 Introductory MBK (Project Management Body of Knowledge) Six Sigma: Green BeltCertificate In in Training and Assessments (AA40104) Australian Business Academy (BRA and IS) 1. MP Project Management Certification,Certification
239,LT9236711,Beulah Amey  ,Leicester,12-Feb-12,Betty Adewuyi,Master of Arts,Marketing Management,University of Derby,"Bachelor (Management), Master of Arts (Marketing Management), Higher Diploma (Hospitality Management)",US1303 - Marketing US3203 - Start Gt Bus Simulation,Marketing Management and Hospitality,14 years teaching experience,Industry and Teaching experience
240,LT9001804,Erika Ridge  ,Leicester,14-Aug-99,Betty Adewuyi,Master of Education Technology,Educational Technology,Univ of Southern Queensland,"Master of Education Technology (Educational Technology), Bachelor (Marketing Management)",US4153 - Financial Accounting In US4113 - Financial Accounting I US1503 - Accounting for Managers,Accounting,More than 5 years work experience,Industry and Teaching experience
241,LT9301281,Lizette Rouillard  ,Leicester,17-Aug-14,Betty Adewuyi,"Masters (Business Administration), Master of Philosophy (Business)",nan,Maastricht School of Management,"Masters (Business Administration), Bachelor (Business), Master of Philosophy (Business)",US3406 - Work Related Learning US4573 - Advanced Strategic Management SD2222 - Retailing Project I SD2067 - Business Work Placement US2103 - Operations Management,Business Administration,"Certified in team- based learning (USA), Certified in Neuro Linguistic Programming (Canada), Certified in outcomes assessment according to the national qualifications framework in the AE (US)",Industry and Teaching experience
242,LT9308980,Lynn Lightle  ,Leicester,15-Mar-15,Betty Adewuyi,Ph.D,Management,Royal Melbourne Inst. of Tech,"Ph.D (Management), Bachelor (Accounting and Finance), Graduate Certificate (Tertiary Teaching and Learning), Masters (Business)",US3003 - Managing People andOrganisations US1203 - Software Apps for Business,nan,nan,Industry and Teaching experience
243,LT9328815,Shon Agena  ,Leicester,09-Aug-15,Betty Adewuyi,Doctorate,nan,London South Bank University,nan,US2303 - Financial Management US4123 - Auditing,nan,nan,Industry and Teaching experience
244,LT9257386,Alfonso Spina  ,Leicester,27-Jan-13,Olu Ebenezer,Masters,Law,Eötvös Loránd University,"Post Graduate Diploma (Legal Studies), Masters (Law)",US4313 - Emil Relations AE Labour Law US2003 - Business and Commercial Law US4673 - International Law,Business Law,Certificate in Teaching Methodology in Higher Education. Hungarian Bar Exam. Specialist in European Law,Industry and Teaching experience
245,LT9301614,Lizzie Gomez  ,Leicester,23-Aug-15,Olu Ebenezer,nan,nan,nan,"Bachelor (Accounting), Masters (Business)",SD2033 - Basic Accounting,Finance and Accounting,"More than 5 years work experience, PA (California, USA)",Industry and Teaching experience
246,LT9217802,Lahoma Baumgarten  ,Leicester,14-Aug-11,Olu Ebenezer,MA in Teaching,Education,University of London,"Bachelor of Arts (Business studies), MA in Teaching (Education)",US2403 - Innovation and Entrepreneurship US4563 - Strategic Marketing Management SD2252 - Retailing Project In,Entrepreneurship,TC,Industry and Teaching experience
250,LT9231160,Tianna Simmons  ,Cambridge,14-Aug-11,Betty Adewuyi,Master of Business Administrator,Business Management,University of Santo Tomas,"Master of Business Administrator (Business Management), Bachelor of Science (Business Management)",US3903 - Contemporary Business US3406 - Work Related Learning US3003 - Managing People andOrganisations US1003 - Management and Leadership,Economics,Licensed Agriculturist,Industry and Teaching experience
251,LT9301291,Nathan Vaccaro  ,Cambridge,12-Oct-14,Betty Adewuyi,Master of Business Administrator,Business Administration,University of Western Ontario,"Bachelor of Arts (Economics), Master of Business Administrator (Business Administration)",US4143 - IRS US4173 - Managerial Accounting In SD2043 - Practical Accounting US4123 - Auditing SS2103 - Personal Finance,Accounting,Certified Management Accountant (MA); Chartered Financial Analyst (FA); Certified Financial Planner (FP); More than 5 years work experience,Industry and Teaching experience
252,LT9133435,Phylicia Bodkin  ,Cambridge,02-Aug-08,Betty Adewuyi,Master of Business Administrator,Business Administration,American University of Beirut,"Diploma (Teaching), Master of Business Administrator (Business Administration), Post Degree Certificate (Management Accounting), Bachelor of Business Admin. (Business Administration)",US4163 - Taxation US4133 - Managerial Accounting I,Accounting,MA,Industry and Teaching experience
253,LT9328806,Dell Rosenburg  ,Cambridge,09-Aug-15,Betty Adewuyi,Master's Degree in Public Relations and Press Office Management,nan,University Autònoma de Barcelona,nan,SD2263 - Socially Responsible Retailing US1303 - Marketing,nan,nan,Industry and Teaching experience
254,LT9010813,Vertie Mcinnis  ,Cambridge,14-Aug-04,Betty Adewuyi,Master of Science,Tourism Tourist and Hotel Gt.,Alexandria University,"Bachelor of Science (Tourism and Hotels), Master of Science (Tourism Tourist and Hotel Gt.)",US3103 - Internet Bus Globalization US2913 - Sustaining Cultural Identity,Management,More than 5 years work experience,Industry and Teaching experience
255,950001122,Dian Edgington  ,Cambridge,25-May-14,Betty Adewuyi,Bachelor of Applied Science,Business Adm (Hum Resources),Dubai Women's College,"Bachelor of Applied Science (Business Adm (Hum Resources)), Diploma (Applied Business), Certificate (General Business), Higher Diploma (Business and Gt (Hum Resources)), Bachelor of Education (Career Advising and Counseling)",nan,nan,nan,Industry and Teaching experience
256,LT9157057,Evette Pinion  ,Cambridge,01-Aug-09,Olu Ebenezer,Master of Business Administrator,Business Administration,The Univ. of Western Australia,"Bachelor of Business Admin. (Business Administration), Master of Business Administrator (Business Administration)",US4383 - Performance Management US1203 - Software Apps for Business US3203 - Start Gt Bus Simulation,Management,More than 5 years work experience,Industry and Teaching experience
257,LT9278023,Tosha Dudash  ,Cambridge,18-Aug-13,Olu Ebenezer,Master of Business Administrator,Business Administration,University of Huddersfield,"Post Graduate Diploma (Research), Master of Business Administrator (Business Administration), Masters (Marketing), Bachelor of Science (Computer and Information System)",US2403 - Innovation and Entrepreneurship US2003 - Business and Commercial Law US2103 - Operations Management,Operations Management,More than 5 years work experience,Industry and Teaching experience
258,LT9280275,Aretha Platter  ,Cambridge,23-Aug-15,Olu Ebenezer,nan,nan,nan,"Masters (Finance), Bachelor (Accounting and Finance), Post Degree Certificate ()",US1503 - Accounting for Managers,nan,nan,Industry and Teaching experience
259,LT9001889,Concha Britto  ,Cambridge,23-Aug-15,Olu Ebenezer,nan,nan,nan,"Bachelor (English Language and Literature), Masters (Computer Science), Ph.D (Computing)",US1203 - Software Apps for Business,"Computing, Business",More than 5 years work experience; certified as an applied instructor in innovations,Industry and Teaching experience
260,LT9257800,Akiko Coker  ,Cambridge,23-Feb-13,Olu Ebenezer,Master of Business Administrator,Business Administration,Chile Business School,Master of Business Administrator (Business Administration),US3103 - Internet Bus Globalization US3406 - Work Related Learning US1303 - Marketing,Marketing,Certificate II for Professional Workplace Coaches,Industry and Teaching experience
261,LT9282786,Christin Lytton  ,Cambridge,23-Aug-15,Olu Ebenezer,Mater of Philosophy (Economics),nan,University of Marks,"Masters (Economics), Bachelor (Economics), Masters (Economics)",SD2033 - Basic Accounting US1503 - Accounting for Managers,Management,More than 5 years work experience,Industry and Teaching experience
262,LT9272805,Hyon Leal  ,Cambridge,18-Aug-13,Olu Ebenezer,Master of Business Administrator,Risk Management and F Analysis,University College Dublin,"Bachelor of Arts (Italian and Classical Studies), Master of Business Administrator (Risk Management and F Analysis), Higher Diploma (Education)",US4623 - International Business Finance US4183 - Corporate Finance US4916 - Integrative Industry Project,Finances,More than 5 years work experience,Industry and Teaching experience
263,LT9328998,Samuel Hilburn  ,Cambridge,09-Aug-15,Olu Ebenezer,Doctorate,nan,Case Western Reserve Univ,nan,US4683 - Middle East Debt. and Logistics US2203 - Business Stats for Managers,nan,nan,Industry and Teaching experience
